datetime,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  06/13/2022 09:53:47.283,2.27E+00,0.00E+00,1.70E+04,0.00E+00,4.12E+02,0.00E+00,1.15E+00,0.00E+00,2.10E+02,0.00E+00,1.40E+02,0.00E+00,2.31E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.89E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:48.284,2.24E+00,0.00E+00,1.73E+04,0.00E+00,4.10E+02,0.00E+00,2.28E+00,0.00E+00,4.17E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.90E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:49.279,2.23E+00,0.00E+00,1.73E+04,0.00E+00,4.08E+02,0.00E+00,2.27E+00,0.00E+00,4.15E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.90E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:50.274,2.23E+00,0.00E+00,1.72E+04,0.00E+00,4.07E+02,0.00E+00,2.27E+00,0.00E+00,4.14E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.91E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:51.268,2.22E+00,0.00E+00,1.71E+04,0.00E+00,4.08E+02,0.00E+00,2.26E+00,0.00E+00,4.15E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.91E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:52.264,2.22E+00,0.00E+00,1.70E+04,0.00E+00,4.07E+02,0.00E+00,2.26E+00,0.00E+00,4.14E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.91E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:53.257,2.22E+00,0.00E+00,1.70E+04,0.00E+00,4.06E+02,0.00E+00,2.26E+00,0.00E+00,4.14E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.91E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:54.251,2.23E+00,0.00E+00,1.70E+04,0.00E+00,4.06E+02,0.00E+00,2.27E+00,0.00E+00,4.13E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.92E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:55.247,2.23E+00,0.00E+00,1.70E+04,0.00E+00,4.06E+02,0.00E+00,2.27E+00,0.00E+00,4.13E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.92E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
  06/13/2022 09:53:56.241,2.24E+00,0.00E+00,1.70E+04,0.00E+00,4.06E+02,0.00E+00,2.28E+00,0.00E+00,4.13E+02,0.00E+00,1.40E+02,0.00E+00,2.32E+01,0.00E+00,2.53E+01,0.00E+00,1.13E+01,0.00E+00,8.33E+00,0.00E+00,6.92E-01,0.00E+00,-7.62E+00,0.00E+00,2.00E+01,0.00E+00,2.00E+01,0.00E+00,2,-1,       Disabled
