"Plot Title: 2.76"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9911894, SEN S/N: 9911894)","Coupler Attached (LGR S/N: 9911894)","Host Connected (LGR S/N: 9911894)","End Of File (LGR S/N: 9911894)"
1,06/21/22 10:00:00 AM,23.004,,,
2,06/21/22 10:30:00 AM,27.272,,,
3,06/21/22 11:00:00 AM,46.593,,,
4,06/21/22 11:30:00 AM,49.632,,,
5,06/21/22 12:00:00 PM,24.062,,,
6,06/21/22 12:30:00 PM,24.062,,,
7,06/21/22 01:00:00 PM,24.062,,,
8,06/21/22 01:30:00 PM,24.062,,,
9,06/21/22 02:00:00 PM,24.062,,,
10,06/21/22 02:30:00 PM,24.062,,,
11,06/21/22 03:00:00 PM,24.062,,,
12,06/21/22 03:30:00 PM,24.158,,,
13,06/21/22 04:00:00 PM,24.158,,,
14,06/21/22 04:30:00 PM,24.255,,,
15,06/21/22 05:00:00 PM,24.255,,,
16,06/21/22 05:30:00 PM,24.351,,,
17,06/21/22 06:00:00 PM,24.351,,,
18,06/21/22 06:30:00 PM,24.448,,,
19,06/21/22 07:00:00 PM,24.351,,,
20,06/21/22 07:30:00 PM,24.351,,,
21,06/21/22 08:00:00 PM,24.351,,,
22,06/21/22 08:30:00 PM,24.255,,,
23,06/21/22 09:00:00 PM,24.255,,,
24,06/21/22 09:30:00 PM,24.255,,,
25,06/21/22 10:00:00 PM,24.255,,,
26,06/21/22 10:30:00 PM,24.351,,,
27,06/21/22 11:00:00 PM,24.351,,,
28,06/21/22 11:30:00 PM,24.351,,,
29,06/22/22 12:00:00 AM,24.448,,,
30,06/22/22 12:30:00 AM,24.448,,,
31,06/22/22 01:00:00 AM,24.448,,,
32,06/22/22 01:30:00 AM,24.545,,,
33,06/22/22 02:00:00 AM,24.545,,,
34,06/22/22 02:30:00 AM,24.545,,,
35,06/22/22 03:00:00 AM,24.641,,,
36,06/22/22 03:30:00 AM,24.641,,,
37,06/22/22 04:00:00 AM,24.738,,,
38,06/22/22 04:30:00 AM,24.738,,,
39,06/22/22 05:00:00 AM,24.738,,,
40,06/22/22 05:30:00 AM,24.835,,,
41,06/22/22 06:00:00 AM,24.835,,,
42,06/22/22 06:30:00 AM,24.931,,,
