"Plot Title: 4.76"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9911877, SEN S/N: 9911877)","Coupler Attached (LGR S/N: 9911877)","Coupler Detached (LGR S/N: 9911877)","Host Connected (LGR S/N: 9911877)","End Of File (LGR S/N: 9911877)"
1,06/21/22 10:00:00 AM,23.100,,,,
2,06/21/22 10:30:00 AM,26.977,,,,
3,06/21/22 11:00:00 AM,46.979,,,,
4,06/21/22 11:30:00 AM,43.118,,,,
5,06/21/22 12:00:00 PM,24.255,,,,
6,06/21/22 12:30:00 PM,24.255,,,,
7,06/21/22 01:00:00 PM,24.255,,,,
8,06/21/22 01:30:00 PM,24.448,,,,
9,06/21/22 02:00:00 PM,24.448,,,,
10,06/21/22 02:30:00 PM,24.545,,,,
11,06/21/22 03:00:00 PM,24.545,,,,
12,06/21/22 03:30:00 PM,24.545,,,,
13,06/21/22 04:00:00 PM,24.641,,,,
14,06/21/22 04:30:00 PM,24.738,,,,
15,06/21/22 05:00:00 PM,24.835,,,,
16,06/21/22 05:30:00 PM,24.835,,,,
17,06/21/22 06:00:00 PM,24.931,,,,
18,06/21/22 06:30:00 PM,24.931,,,,
19,06/21/22 07:00:00 PM,24.931,,,,
20,06/21/22 07:30:00 PM,25.028,,,,
21,06/21/22 08:00:00 PM,25.028,,,,
22,06/21/22 08:30:00 PM,25.028,,,,
23,06/21/22 09:00:00 PM,25.125,,,,
24,06/21/22 09:30:00 PM,25.125,,,,
25,06/21/22 10:00:00 PM,25.222,,,,
26,06/21/22 10:30:00 PM,25.222,,,,
27,06/21/22 11:00:00 PM,25.319,,,,
28,06/21/22 11:30:00 PM,25.416,,,,
29,06/22/22 12:00:00 AM,25.416,,,,
30,06/22/22 12:30:00 AM,25.708,,,,
31,06/22/22 01:00:00 AM,25.902,,,,
32,06/22/22 01:30:00 AM,25.902,,,,
33,06/22/22 02:00:00 AM,25.902,,,,
34,06/22/22 02:30:00 AM,25.805,,,,
35,06/22/22 03:00:00 AM,25.805,,,,
36,06/22/22 03:30:00 AM,25.708,,,,
37,06/22/22 04:00:00 AM,25.708,,,,
38,06/22/22 04:30:00 AM,25.610,,,,
39,06/22/22 05:00:00 AM,25.610,,,,
40,06/22/22 05:30:00 AM,25.610,,,,
41,06/22/22 06:00:00 AM,25.513,,,,
42,06/22/22 06:30:00 AM,25.513,,,,
43,06/22/22 07:00:00 AM,25.513,,,,
44,06/22/22 07:30:00 AM,25.513,,,,
45,06/22/22 08:00:00 AM,25.513,,,,
46,06/22/22 08:30:00 AM,25.610,,,,
47,06/22/22 09:00:00 AM,25.708,,,,
48,06/22/22 09:30:00 AM,25.708,,,,
49,06/22/22 10:00:00 AM,25.708,,,,
50,06/22/22 10:30:00 AM,25.805,,,,
51,06/22/22 11:00:00 AM,25.902,,,,
52,06/22/22 11:30:00 AM,25.902,,,,
53,06/22/22 12:00:00 PM,25.902,,,,
54,06/22/22 12:30:00 PM,26.000,,,,
55,06/22/22 01:00:00 PM,26.097,,,,
56,06/22/22 01:30:00 PM,26.097,,,,
57,06/22/22 02:00:00 PM,26.097,,,,
58,06/22/22 02:30:00 PM,26.097,,,,
59,06/22/22 03:00:00 PM,26.097,,,,
60,06/22/22 03:30:00 PM,26.000,,,,
61,06/22/22 04:00:00 PM,26.000,,,,
62,06/22/22 04:30:00 PM,26.000,,,,
63,06/22/22 05:00:00 PM,25.902,,,,
64,06/22/22 05:30:00 PM,25.902,,,,
65,06/22/22 06:00:00 PM,25.902,,,,
66,06/22/22 06:30:00 PM,25.805,,,,
67,06/22/22 07:00:00 PM,25.902,,,,
68,06/22/22 07:30:00 PM,25.902,,,,
69,06/22/22 08:00:00 PM,25.902,,,,
70,06/22/22 08:30:00 PM,25.902,,,,
71,06/22/22 09:00:00 PM,26.000,,,,
72,06/22/22 09:30:00 PM,26.000,,,,
73,06/22/22 10:00:00 PM,26.097,,,,
74,06/22/22 10:30:00 PM,26.097,,,,
75,06/22/22 11:00:00 PM,26.097,,,,
76,06/22/22 11:30:00 PM,26.097,,,,
77,06/23/22 12:00:00 AM,26.097,,,,
78,06/23/22 12:30:00 AM,26.195,,,,
79,06/23/22 01:00:00 AM,26.195,,,,
80,06/23/22 01:30:00 AM,26.195,,,,
81,06/23/22 02:00:00 AM,26.195,,,,
82,06/23/22 02:30:00 AM,26.195,,,,
83,06/23/22 03:00:00 AM,26.097,,,,
84,06/23/22 03:30:00 AM,26.097,,,,
85,06/23/22 04:00:00 AM,26.000,,,,
86,06/23/22 04:30:00 AM,26.000,,,,
87,06/23/22 05:00:00 AM,25.902,,,,
88,06/23/22 05:30:00 AM,25.902,,,,
89,06/23/22 06:00:00 AM,25.805,,,,
90,06/23/22 06:30:00 AM,25.805,,,,
91,06/23/22 07:00:00 AM,25.805,,,,
92,06/23/22 07:30:00 AM,25.805,,,,
93,06/23/22 08:00:00 AM,25.902,,,,
94,06/23/22 08:30:00 AM,25.902,,,,
95,06/23/22 09:00:00 AM,26.000,,,,
96,06/23/22 09:30:00 AM,26.000,,,,
97,06/23/22 10:00:00 AM,26.097,,,,
98,06/23/22 10:30:00 AM,26.195,,,,
99,06/23/22 11:00:00 AM,26.195,,,,
100,06/23/22 11:30:00 AM,26.292,,,,
101,06/23/22 12:00:00 PM,26.292,,,,
102,06/23/22 12:30:00 PM,26.390,,,,
103,06/23/22 01:00:00 PM,26.488,,,,
104,06/23/22 01:30:00 PM,26.488,,,,
105,06/23/22 02:00:00 PM,26.488,,,,
106,06/23/22 02:30:00 PM,26.488,,,,
107,06/23/22 03:00:00 PM,26.488,,,,
108,06/23/22 03:30:00 PM,26.488,,,,
109,06/23/22 04:00:00 PM,26.488,,,,
110,06/23/22 04:30:00 PM,26.390,,,,
111,06/23/22 05:00:00 PM,26.292,,,,
112,06/23/22 05:30:00 PM,26.292,,,,
113,06/23/22 06:00:00 PM,26.292,,,,
114,06/23/22 06:30:00 PM,26.195,,,,
115,06/23/22 07:00:00 PM,26.195,,,,
116,06/23/22 07:30:00 PM,26.097,,,,
117,06/23/22 08:00:00 PM,26.097,,,,
118,06/23/22 08:30:00 PM,26.097,,,,
119,06/23/22 09:00:00 PM,26.195,,,,
120,06/23/22 09:30:00 PM,26.195,,,,
121,06/23/22 10:00:00 PM,26.195,,,,
122,06/23/22 10:30:00 PM,26.292,,,,
123,06/23/22 11:00:00 PM,26.292,,,,
124,06/23/22 11:30:00 PM,26.390,,,,
125,06/24/22 12:00:00 AM,26.390,,,,
126,06/24/22 12:30:00 AM,26.390,,,,
127,06/24/22 01:00:00 AM,26.488,,,,
128,06/24/22 01:30:00 AM,26.488,,,,
129,06/24/22 02:00:00 AM,26.585,,,,
130,06/24/22 02:30:00 AM,26.585,,,,
131,06/24/22 03:00:00 AM,26.683,,,,
132,06/24/22 03:30:00 AM,26.585,,,,
133,06/24/22 04:00:00 AM,26.585,,,,
134,06/24/22 04:30:00 AM,26.488,,,,
135,06/24/22 05:00:00 AM,26.488,,,,
136,06/24/22 05:30:00 AM,26.390,,,,
137,06/24/22 06:00:00 AM,26.390,,,,
138,06/24/22 06:30:00 AM,26.292,,,,
139,06/24/22 07:00:00 AM,26.292,,,,
140,06/24/22 07:30:00 AM,26.390,,,,
141,06/24/22 08:00:00 AM,26.390,,,,
142,06/24/22 08:30:00 AM,26.390,,,,
143,06/24/22 09:00:00 AM,26.390,,,,
144,06/24/22 09:30:00 AM,26.488,,,,
145,06/24/22 10:00:00 AM,26.488,,,,
146,06/24/22 10:30:00 AM,26.488,,,,
